	time	V(na)	V(nt)	I(Rgnd)	I(Rrad)	power
255	1970-01-01 00:00:00.000000255					
256	1970-01-01 00:00:00.000000256	0.08280262	0.08280365	0.01150036	1.219307e-14	1.2692039515845716e-27
257	1970-01-01 00:00:00.000000257					
258	1970-01-01 00:00:00.000000258					
259	1970-01-01 00:00:00.000000259					
260	1970-01-01 00:00:00.000000260					
261	1970-01-01 00:00:00.000000261					
262	1970-01-01 00:00:00.000000262					
263	1970-01-01 00:00:00.000000263					
264	1970-01-01 00:00:00.000000264					
265	1970-01-01 00:00:00.000000265					
266	1970-01-01 00:00:00.000000266	0.08612157	0.08612306	0.01196133	4.397348e-13	1.6507714695040884e-24
267	1970-01-01 00:00:00.000000267	0.07804160396123147	0.22705783500646143	0.010839111663245915	2.307676283386545e-07	2.6608588269714053e-10
268	1970-01-01 00:00:00.000000268	0.07220080440001587	0.21058941079773097	0.010027889527153	1.9343078555486928e-07	1.9729301583613824e-10
269	1970-01-01 00:00:00.000000269	0.07250446109827981	0.20699711070211316	0.010070064031436706	3.3448532581269096e-07	2.0503086486640722e-10
270	1970-01-01 00:00:00.000000270	0.07289641349698639	0.20719179358559853	0.010124501876421986	2.8589608312284637e-07	2.0908614497686147e-10
271	1970-01-01 00:00:00.000000271	0.07320701882946076	0.20773131356263203	0.01016764153481328	2.4080955533111876e-07	2.1002966587445934e-10
272	1970-01-01 00:00:00.000000272	0.07349727960449297	0.20833912722274955	0.010207955524837843	2.2627198603741496e-07	2.0875417126833192e-10
273	1970-01-01 00:00:00.000000273	0.07378227609884042	0.2089915118482291	0.010247538363177407	2.282947813023586e-07	2.0857423508801872e-10
274	1970-01-01 00:00:00.000000274	0.07406615622373763	0.20966744425479916	0.010286966171705625	2.282077880548701e-07	2.0931408210098657e-10
275	1970-01-01 00:00:00.000000275	0.07434967342870655	0.21034476363600535	0.010326343511862537	2.4272321902683064e-07	2.103554798036884e-10
276	1970-01-01 00:00:00.000000276	0.07463358204673302	0.21099863595452578	0.010365775246056409	2.458486210956296e-07	2.102485131210768e-10
277	1970-01-01 00:00:00.000000277	0.07491815880536015	0.21164764890556842	0.010405299825126734	2.45603147980033e-07	2.1009830931672914e-10
278	1970-01-01 00:00:00.000000278	0.07520288182683643	0.21230023431145936	0.010444844677766895	2.469128864904603e-07	2.0982035708461977e-10
279	1970-01-01 00:00:00.000000279	0.07548669507143135	0.21299563550546927	0.010484263171785588	2.6623522613006734e-07	2.1020499444587711e-10
