	time	V(na)	V(nt)	V(t)	I(Rgnd)	I(Rrad)	power
676	1970-01-01 00:00:00.676	0.10368647089739799	1.17219159180958	82.08280055662331	0.014400898657599054	9.32052556298418e-06	3.33302941760675e-07
677	1970-01-01 00:00:00.677	0.10421468954936258	1.1708424928846723	82.45116203231545	0.014474262444411502	9.756272036742218e-06	3.329989662050533e-07
678	1970-01-01 00:00:00.678	0.10474075612086203	1.1695004465674295	82.81758559801526	0.014547327174701918	9.354193764445753e-06	3.4027511897159046e-07
679	1970-01-01 00:00:00.679	0.10526368560449305	1.1681945716080402	83.18102575968075	0.014619956281407035	9.045038583736912e-06	3.700066353484405e-07
680	1970-01-01 00:00:00.680	0.10578407919203921	1.166895259171246	83.54277128471708	0.01469223314421506	8.965707127720778e-06	3.56022655699805e-07
681	1970-01-01 00:00:00.681	0.10630240521499776	1.1656296291474484	83.90261801592024	0.01476422292887963	9.477509718236126e-06	3.4988016295614917e-07
682	1970-01-01 00:00:00.682	0.10681802694713327	1.1643682344750559	84.26046550856293	0.0148358370454207	9.944557964954355e-06	3.323715802437938e-07
683	1970-01-01 00:00:00.683	0.10733148483355724	1.1631506527839977	84.61614115017166	0.014907150702343632	9.739046913961786e-06	3.399914547775228e-07
684	1970-01-01 00:00:00.684	0.10784210396084	1.161932703833794	84.9696511434123	0.014978070043345042	9.636783330133023e-06	3.3883506613386067e-07
685	1970-01-01 00:00:00.685	0.10835048070595274	1.1607400180975171	85.3213463288962	0.015048677880646127	9.966144026140443e-06	3.384245621917324e-07
686	1970-01-01 00:00:00.686	0.10885667961769115	1.1595676428785606	85.67114095952024	0.015118983266866568	9.851410621530284e-06	3.368271879478076e-07
687	1970-01-01 00:00:00.687	0.10936048186941168	1.15841300601097	86.01921361409573	0.015188955828386806	9.974752421470433e-06	3.380020492342099e-07
688	1970-01-01 00:00:00.688	0.1098623542236585	1.1572779013978658	86.36551036374568	0.015258660216443709	9.90994608847362e-06	3.3810081840424737e-07
689	1970-01-01 00:00:00.689	0.11036148539986433	1.156155753373031	86.7099144132057	0.015327984070249491	9.831249790829576e-06	3.387261508782438e-07
690	1970-01-01 00:00:00.690	0.11085907095385546	1.155064462125217	87.05288063439318	0.015397093208972132	9.711016830688768e-06	3.4374050674732464e-07
691	1970-01-01 00:00:00.691	0.11135408392073817	1.153968296778097	87.39416524807139	0.015465844990924217	9.979740999696719e-06	3.402399773157256e-07
692	1970-01-01 00:00:00.692	0.1118472222828145	1.152909499356207	87.73387098992653	0.015534336407634628	9.822223164043778e-06	3.44787988913042e-07
693	1970-01-01 00:00:00.693	0.11233841376954608	1.151852474571125	88.072190717322	0.015602557531501441	9.859702271808867e-06	3.4279588209645896e-07
694	1970-01-01 00:00:00.694	0.11282736305223937	1.1508276296099156	88.40860677134818	0.015670467017717283	9.989405097580411e-06	3.455707017248288e-07
695	1970-01-01 00:00:00.695	0.11331416964625333	1.1498209056675541	88.7435199216432	0.015738079143400533	9.811546234289083e-06	3.426994408671407e-07
696	1970-01-01 00:00:00.696	0.1137989279591992	1.1488147834360967	89.0768927083809	0.015805406604247545	9.655691607382202e-06	3.4589872777301146e-07
697	1970-01-01 00:00:00.697	0.11428181184360948	1.1478308141909916	89.40893584787744	0.015872473863272615	9.96334187911272e-06	3.444796799274423e-07
698	1970-01-01 00:00:00.698	0.11476315349885409	1.1468583823529412	89.74012599236059	0.015939326870893812	1.002705282926967e-05	3.4545331202955304e-07
699	1970-01-01 00:00:00.699	0.1152422698768454	1.1459063299166221	90.06944693796373	0.016005870816186034	9.855279864047579e-06	3.4472649227428014e-07
700	1970-01-01 00:00:00.700	0.1157197016241477	1.1449779243851987	90.3976304236574	0.01607218080134835	1.0106198479772466e-05	3.469756126967235e-07
701	1970-01-01 00:00:00.701	0.11619514466993414	1.1440476327155766	90.72426836728442	0.016138214573441566	9.606289984056593e-06	3.526041473462018e-07
702	1970-01-01 00:00:00.702	0.11666866235321208	1.1431534278916262	91.04970843426202	0.016203980886483997	9.974604868669122e-06	3.4869444189662566e-07
703	1970-01-01 00:00:00.703	0.11714063096353168	1.1422617630710172	91.37405342648754	0.016269532013819577	9.882400049674243e-06	3.47225928471592e-07
704	1970-01-01 00:00:00.704	0.11761096121193479	1.1413821282682253	91.69745801599508	0.01633485570132267	1.0062753189204092e-05	3.4845666138792547e-07
705	1970-01-01 00:00:00.705	0.11807943327677953	1.140513038019588	92.01950853859798	0.016399921241613324	1.0059956586707025e-05	3.48618795958587e-07
706	1970-01-01 00:00:00.706	0.11854602729379055	1.1396646360827927	92.34012868551129	0.016464725986252704	9.963591432976521e-06	3.487651703459634e-07
707	1970-01-01 00:00:00.707	0.11901113088576287	1.1388316130004636	92.65984376874324	0.01652932371618488	9.947681498494357e-06	3.4903760584629084e-07
708	1970-01-01 00:00:00.708	0.1194745233663673	1.1380075422731495	92.97838749922576	0.01659368380380923	1.0074800309228863e-05	3.4761989592067206e-07
709	1970-01-01 00:00:00.709	0.11993629454517278	1.13720300069735	93.29594995505967	0.01665781870990237	1.0023011829770648e-05	3.5221607729514103e-07
710	1970-01-01 00:00:00.710	0.12039638705343274	1.1363987119447032	93.61250473827276	0.016721720392979186	1.0058802655312987e-05	3.5200288628741423e-07
